Rank,Name,Manufacturer,Country,Year,Segment,Total_Cores,Processor_Speed,CoProcessor_Cores,Rmax,Rpeak,Power,Power_Efficiency,Architecture,Processor_Technology,Operating_System,OS_Family
161,Hera,HPE,United States,2019,Research,63840,2400,,3080.85,4884.48,,,Cluster,Intel Skylake,CentOS,Linux
162,Camphor 2,HPE,Japan,2016,Academic,122400,1400,,3057.35,5483.52,748.1,4.086819944,MPP,Intel Xeon Phi,Cray Linux Environment,Linux
163,Jean Zay,HPE,France,2019,Academic,61120,2500,,3054.35,4867.2,,,Cluster,Intel Cascade lake,RHEL 7.6,Linux
164,Mistral,Atos,Germany,2015,Research,99072,2500,,3010.68,3962.88,1116,2.697741935,Cluster,Intel Haswell,Bullx Linux,Linux
165,,Lenovo,China,2019,Industry,73600,2500,,2994.04,5888,,,Cluster,Intel Skylake,Linux,Linux
166,HHH1,Lenovo,China,2021,Industry,80640,2500,,2975.29,6451.2,,,Cluster,Intel Cascade lake,Linux,Linux
167,III1,Lenovo,China,2021,Industry,79680,2500,,2975.08,6374.4,,,Cluster,Intel Cascade lake,Linux,Linux
168,Tetralith,ClusterVision / Hammer,Sweden,2018,Academic,64512,2100,,2969.19,4335.206,,,Cluster,Intel Skylake,CentOS,Linux
169,JJJ1,Lenovo,China,2021,Industry,78720,2500,,2933.42,6297.6,,,Cluster,Intel Cascade lake,Linux,Linux
170,,Lenovo,China,2019,Industry,72000,2500,,2931.84,5760,,,Cluster,Intel Skylake,Linux,Linux
171,A9A,Lenovo,United States,2021,Industry,86016,2100,,2922.5,5780.28,,,Cluster,Intel Cascade lake,Linux,Linux
172,A6A,Lenovo,United States,2021,Industry,86016,2100,,2922.5,5780.28,,,Cluster,Intel Cascade lake,Linux,Linux
173,Jean,Liqid,United States,2020,Government,55296,2300,,2917.56,4069.79,,,Cluster,Intel Cascade lake,CentOS,Linux
174,KKK1,Lenovo,China,2021,Industry,77760,2500,,2910.09,6220.8,,,Cluster,Intel Cascade lake,Linux,Linux
175,,Inspur,China,2020,Academic,49056,3000,,2889.41,4709.38,,,Cluster,Intel Cascade lake,Linux,Linux
176,LLL1,Lenovo,China,2021,Industry,76800,2500,,2882.76,6144,,,Cluster,Intel Cascade lake,Linux,Linux
177,,Lenovo,China,2021,Industry,93600,2100,,2873.41,6289.92,,,Cluster,Intel Cascade lake,Linux,Linux
178,A8A,Lenovo,United States,2021,Industry,84480,2100,,2870.31,5677.06,,,Cluster,Intel Cascade lake,Linux,Linux
179,A8A,Lenovo,United States,2021,Industry,84480,2100,,2870.31,5677.06,,,Cluster,Intel Cascade lake,Linux,Linux
180,A3A,Lenovo,United States,2021,Industry,84480,2100,,2870.31,5677.06,,,Cluster,Intel Cascade lake,Linux,Linux
181,,Lenovo,China,2020,Industry,94160,2100,,2867.64,6327.55,,,Cluster,Intel Cascade lake,Linux,Linux
182,MMM1,Lenovo,China,2021,Industry,75840,2500,,2857.04,6067.2,,,Cluster,Intel Cascade lake,Linux,Linux
183,"Karolina, CPU partition",HPE,Czechia,2021,Academic,92160,2600,,2837.4,3833.86,502.7,5.644320668,Cluster,AMD Zen-2 (Rome),CentOS,Linux
184,NNN1,Lenovo,China,2021,Industry,74880,2500,,2834.05,5990.4,,,Cluster,Intel Cascade lake,Linux,Linux
185,Freeman,HPE,United States,2020,Research,79104,2900,,2829,3670.43,,,Cluster,AMD Zen-2 (Rome),RHEL 7.7,Linux
186,SuperMUC Phase 2,Lenovo/IBM,Germany,2015,Academic,86016,2600,,2813.62,3578.266,1480.83,1.900029038,Cluster,Intel Haswell,Linux,Linux
187,OOO1,Lenovo,China,2021,Industry,73920,2500,,2804.41,5913.6,,,Cluster,Intel Cascade lake,Linux,Linux
188,,HPE,United Kingdom,2016,Research,89856,2100,,2801.782,3019.162,1347.84,2.078720026,MPP,Intel Broadwell,Cray Linux Environment,Linux
189,,HPE,United Kingdom,2016,Research,89856,2100,,2801.782,3019.162,1347.84,2.078720026,MPP,Intel Broadwell,Cray Linux Environment,Linux
190,JFRS-1,HPE,Japan,2018,Research,54560,2400,,2787.14,4190.208,697.51,3.995842354,MPP,Intel Skylake,Cray Linux Environment,Linux
191,,Lenovo,China,2019,Industry,68000,2500,,2779.84,5440,,,Cluster,Intel Skylake,Linux,Linux
192,,Lenovo,China,2021,Industry,72960,2500,,2774.23,5836.8,,,Cluster,Intel Cascade lake,Linux,Linux
193,Spartan3,Atos,France,2021,Vendor,92160,2450,,2751,3612.67,,,Cluster,AMD Zen-3 (Milan),Linux,Linux
194,ZZ2,Lenovo,China,2020,Industry,67200,2500,,2749.28,5376,,,Cluster,Intel Skylake,Linux,Linux
195,,Lenovo,China,2019,Industry,66400,2500,,2746.3,5312,,,Cluster,Intel Cascade lake,Linux,Linux
196,,Lenovo,China,2019,Government,59976,2600,48960,2744.84,5354.878,,,Cluster,Intel Cascade lake,Linux,Linux
197,,Lenovo,China,2021,Industry,72000,2500,,2742.91,5760,,,Cluster,Intel Cascade lake,Linux,Linux
198,Topaze-gpu,Atos,France,2021,Research,26880,2450,20736,2741,3744,,,Cluster,AMD Zen-3 (Milan),Linux,Linux
199,VSC-4,Lenovo,Austria,2019,Academic,37920,3100,,2726.0779,3761.664,,,Cluster,Intel Skylake,SUSE Linux Enterprise Server 12 SP3,Linux
200,SNL/NNSA CTS-1 Attaway,Penguin Computing,United States,2019,Research,52920,2300,,2724.52,3894.912,750,3.632693333,Cluster,Intel Skylake,Linux/TOSS,Linux
