Rank,Name,Manufacturer,Country,Year,Segment,Total_Cores,Processor_Speed,CoProcessor_Cores,Rmax,Rpeak,Power,Power_Efficiency,Architecture,Processor_Technology,Operating_System,OS_Family,CoProcessor,CoresPerSocket,System_Family,Continent,System_Model,Previous_Rank
61,HoreKa-Green,Lenovo,Germany,2021,Academic,90932,2400,77328,8025.6,15006.79,358.79,22.3685164,Cluster,Intel Ice Lake,Linux,Linux,NVIDIA A100 40GB,38,Lenovo ThinkSystem,Europe,"ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband",52
62,Narwhal,HPE,United States,2020,Government,276480,2600,,8023.6,11501.57,,,MPP,AMD Zen-2 (Rome),SLES15 SP2,Linux,None,64,HPE Cray EX,North America,"HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10",53
63,Plasma Simulator,NEC,Japan,2020,Research,34560,1584,,7892.7,10510.66,1550.1,5.091736017,Cluster,NEC Vector Engine,VEOS,Linux,None,8,SX-Aurora TSUBASA,Asia,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, Infiniband HDR 200",54
64,Belenos,Atos,France,2020,Research,294912,2250,,7683.36,10469.376,1655,4.642513595,Cluster,AMD Zen-2 (Rome),bullx SCS,Linux,None,64,BullSequana,Europe,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR100",55
65,PupMaya,HPE,United States,2019,Government,169920,2400,,7483.73,12902.4,,,Cluster,Intel Skylake,CentOS Linux 7,Linux,None,20,HP Apollo,North America,"Apollo 2000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR",56
66,Artemis,Nvidia,United Arab Emirates,2019,Industry,107568,2700,103680,7257,9492.163,673,10.78306092,Cluster,Intel Skylake,Ubuntu,Linux,NVIDIA Tesla V100,24,NVIDIA DGX,Asia,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Infiniband EDR, NVIDIA Tesla V100",57
67,,HPE,United Kingdom,2016,Research,241920,2100,,7038.93,8128.512,,,MPP,Intel Broadwell,Cray Linux Environment,Linux,None,18,Cray XC,Europe,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",58
68,Levante,Atos,Germany,2021,Research,308096,2450,,6998.79,10276,,,Cluster,AMD Zen-3 (Milan),Linux,Linux,None,64,BullSequana,Europe,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100",
69,JOLIOT-CURIE ROME,Atos,France,2019,Research,197120,2600,,6988.04,12039.3728,1436,4.86632312,Cluster,AMD Zen-2 (Rome),bullx SCS,Linux,None,64,BullSequana,Europe,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",59
70,Theta,HPE,United States,2017,Research,280320,1300,,6920.9,11661.312,,,MPP,Intel Xeon Phi,Cray Linux Environment,Linux,None,64,Cray XC,North America,"Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz, Aries interconnect ",60
71,"Karolina, GPU partition",HPE,Czechia,2021,Academic,71424,2450,62208,6752,9080.18,310.99,21.71130905,Cluster,AMD Zen-3 (Milan),CentOS,Linux,NVIDIA A100 SXM4 40 GB,64,HP Apollo,Europe,"Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200",
72,Christofari,Nvidia,Russia,2019,Industry,99600,2700,96000,6669,8789.76,,,Cluster,Intel Skylake,Ubuntu 18.04.01,Linux,NVIDIA Tesla V100,24,NVIDIA DGX,Europe,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100",61
73,Flow,Fujitsu,Japan,2020,Academic,110592,2200,,6617.8,7785.6768,,,Cluster,Fujitsu ARM,Red Hat Enterprise Linux,Linux,None,48,Fujitsu PRIMEHPC,Asia,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",62
74,MareNostrum,Lenovo,Spain,2017,Academic,153216,2100,,6470.8,10296.115,1632,3.96495098,Cluster,Intel Skylake,SUSE Linux,Linux,None,24,Lenovo ThinkSystem,Europe,"Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path",63
75,ONYX,HPE,United States,2017,Research,211816,2200,,6316.03,7455.92,,,MPP,Intel Broadwell,Cray Linux Environment,Linux,None,22,Cray XC,North America,"Cray XC40, Xeon E5-2699v4  22C 2.2GHz, Aries interconnect ",64
76,LUMI-C,HPE,Finland,2021,Research,194560,2450,,6299.79,7626.75,1215.53,5.182751557,MPP,AMD Zen-3 (Milan),HPE Cray OS,Linux,None,64,HPE Cray EX,Europe,"HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-10",
77,JUWELS Module 1,Atos,Germany,2018,Research,114480,2700,,6177.73,9891.072,1361,4.539110948,Cluster,Intel Skylake,CentOS,Linux,None,24,BullSequana,Europe,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite",65
78,,HPE,Japan,2020,Research,100096,3000,87040,6162,8439.62,,,Cluster,Intel Cascade lake,RHEL 7.7,Linux,NVIDIA Tesla V100 SXM2,24,HPE SGI 8600,Asia,"HPE SGI 8600, Xeon Gold 6248R 24C 3GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",66
79,SQUID - CPU Nodes,NEC,Japan,2021,Academic,115520,2400,,6105.1,8871.94,1222.2,4.99517264,Cluster,Intel Ice Lake,CentOS,Linux,None,38,NEC Cluster,Asia,"NEC LX 103Bj-8, Xeon Platinum 8368 38C 2.4GHz, Infiniband HDR200",67
80,Lise,Atos,Germany,2019,Academic,121920,2300,,6048.26,8930.92,,,Cluster,Intel Cascade lake,CentOS,Linux,None,48,Bull Cluster,Europe,"Bull intel Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path",68
81,Pleiades,HPE,United States,2016,Research,241108,2800,,5951.55,7107.1488,4407,1.350476515,Cluster,Intel IvyBridge,SUSE Linux Enterprise Server 11,Linux,None,10,SGI ICE,North America,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR",70
82,Emmy+,Atos,Germany,2020,Academic,120296,2300,,5948.8,8911.2576,,,Cluster,Intel Cascade lake,Linux,Linux,None,48,BullSequana,Europe,"BullSequana X, Intel Xeon Platinum 9242/Gold 6148, Intel Omni-Path",71
83,Narval (GPU),DELL EMC,Canada,2021,Academic,76320,2650,68688,5886,12165.35,311.14,18.91752909,Cluster,AMD Zen-3 (Milan),Rocky Linux 8.4,Linux,NVIDIA A100,24,Dell PowerEdge Cluster,North America,"PowerEdge XE8545, AMD EPYC 7413 24C 2.65GHz, NVIDIA A100, InfiniBand HDR100",
84,Aitken,HPE,United States,2020,Research,175648,2500,,5795.3,8329.73,1401,4.136545325,Cluster,Intel Cascade lake,SLES12,Linux,None,20,HP Apollo,North America,"HPE Apollo 9000/HPE SGI 8600, AMD EPYC 7742 64C 2.25GHz/Intel Xeon Gold 6248 20C 2.5GHz, Mellanox EDR/HDR Infiniband",72
85,Sawtooth,HPE,United States,2019,Research,99792,2900,,5780.62,9220.608,1432,4.03674581,Cluster,Intel Cascade lake,RHEL 7.6,Linux,None,24,HPE SGI 8600,North America,"HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR/HDR ",73
86,,Cray Inc./Hitachi,Japan,2018,Research,135792,2100,,5730.5,9125.222,1353.95,4.232431035,MPP,Intel Skylake,Cray Linux Environment,Linux,None,24,Cray XC,Asia,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ",74
87,,Cray Inc./Hitachi,Japan,2018,Research,135792,2100,,5730.5,9125.222,1353.95,4.232431035,MPP,Intel Skylake,Cray Linux Environment,Linux,None,24,Cray XC,Asia,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ",75
88,COBRA,Intel,Germany,2018,Research,127520,2400,,5612.83,9793.536,1635,3.432923547,Cluster,Intel Skylake,SUSE Linux Enterprise Server 12 SP1,Linux,None,20,Intel Cluster,Europe,"Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",76
89,Shaheen II,HPE,Saudi Arabia,2015,Academic,196608,2300,,5536.99,7235.174,2834,1.953772054,MPP,Intel Haswell,Cray Linux Environment,Linux,None,16,Cray XC,Asia,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",77
90,Electra,HPE,United States,2018,Research,124416,2400,,5444.64,8316.518,1685.73,3.229841078,Cluster,Intel Skylake,SLES12 SP2,Linux,None,20,HPE SGI 8600,North America,"HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IB",78
