Rank,Name,Manufacturer,Country,Year,Segment,Total_Cores,Processor_Speed,CoProcessor_Cores,Rmax,Rpeak,Power,Power_Efficiency,Architecture,Processor_Technology,Operating_System,OS_Family,CoProcessor,CoresPerSocket,System_Family,Continent,System_Model,Previous_Rank
51,DGX SuperPOD,Nvidia,United States,2020,Vendor,127488,3100,122880,9444,11209.114,,,Cluster,Intel Skylake,Ubuntu 18.04.01,Linux,NVIDIA Tesla V100,24,NVIDIA DGX,North America,"NVIDIA DGX-2H, Xeon Platinum 8174 24C 3.1GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR",42
52,JURECA Data Centric Module,Atos,Germany,2021,Research,105840,2250,81648,9330,14508,384.1,24.29054934,Cluster,AMD Zen-2 (Rome),CentOS,Linux,NVIDIA A100 40GB,64,BullSequana,Europe,"BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",43
53,Gadi,Fujitsu / Lenovo,Australia,2020,Academic,204032,3200,51200,9264.31,15142.1952,,,Cluster,Intel Cascade lake,CentOS,Linux,NVIDIA Tesla V100 SXM2,24,Fujitsu PRIMERGY,Oceania,"PRIMERGY CX2570 M5, ThinkSystem SD650, Xeon Platinum 8274/8268, NVIDIA Tesla V100 SXM2, Mellanox HDR Infiniband",44
54,Taiwania 2,Quanta Computer / Taiwan Fixed Network / ASUS Cloud,Taiwan,2018,Research,170352,3000,161280,9000,15208.23,797.54,11.28470045,Cluster,Intel Skylake,CentOS,Linux,NVIDIA Tesla V100 SXM2,18,QCT QuantaGrid,Asia,"QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",45
55,Dragão,Atos,Brazil,2021,Industry,188224,2100,174080,8983,14006.48,943.12,9.524768852,Cluster,Intel Cascade lake,CentOS Linux 7,Linux,NVIDIA Tesla V100,26,Supermicro Cluster,South America,"Supermicro SYS-4029GP-TVRT, Xeon Gold 6230R 26C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR",46
56,Raven-GPU,Lenovo,Germany,2021,Research,96768,2400,82944,8620,16031.54,377,22.86472149,Cluster,Intel Ice Lake,SUSE Linux Enterprise Server 15 SP2,Linux,NVIDIA A100,36,Lenovo ThinkSystem,Europe,"ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Mellanox HDR Infiniband",47
57,AiMOS,IBM,United States,2019,Academic,130000,3450,120000,8339,11032.032,512.08,16.28456491,Cluster,Power,RHEL 7.6,Linux,NVIDIA Volta GV100,20,IBM Power Systems,North America,"IBM Power System AC922, IBM POWER9 20C 3.45GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",48
58,Taranis,Atos,France,2020,Research,294912,2250,,8191.03,10321.92,1672,4.898941388,Cluster,AMD Zen-2 (Rome),bullx SCS,Linux,None,64,BullSequana,Europe,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox InfiniBand HDR100",49
59,TSUBAME3.0,HPE,Japan,2017,Academic,135828,2400,120736,8125,12127.069,792.08,10.25780224,Cluster,Intel Broadwell,SUSE Linux Enterprise Server 12 SP1,Linux,NVIDIA Tesla P100 NVLink,14,HPE SGI 8600,Asia,"SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2",50
60,Roxy,HPE,United States,2020,Government,174720,2500,,8124.48,13977.6,,,Cluster,Intel Cascade lake,CentOS Linux 7,Linux,None,20,HP Apollo,North America,"Apollo 2000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR",51
