Rank,Name,Manufacturer,Country,Year,Segment,Total_Cores,Processor_Speed,CoProcessor_Cores,Rmax,Rpeak,Power,Power_Efficiency,Architecture,Processor_Technology,Operating_System,OS_Family,CoProcessor,CoresPerSocket,System_Family,Continent,System_Model,Previous_Rank
19,Chervonenkis,"YANDEX, NVIDIA",Russia,2021,Industry,193440,2000,168480,21530,29415.17,,,Cluster,AMD Zen-2 (Rome),Ubuntu 16.04,Linux,NVIDIA A100 80GB​,64,YANDEX Cluster,Europe,"YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband",
20,Piz Daint,HPE,Switzerland,2017,Research,387872,2600,319424,21230,27154.3,2384.24,8.904304936,MPP,Intel Haswell,Cray Linux Environment,Linux,NVIDIA Tesla P100,12,Cray XC,Europe,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100",15
21,Trinity,HPE,United States,2017,Research,979072,1400,,20158.7,41461.15,7578.1,2.660125889,MPP,Intel Xeon Phi,Cray Linux Environment,Linux,None,68,Cray XC,North America,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect",16
22,ARCHER2,HPE,United Kingdom,2021,Research,716800,2250,,19539,25804,,,MPP,AMD Zen-2 (Rome),HPE Cray OS,Linux,None,64,HPE Cray EX,Europe,"Cray XE, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",
23,SuperMUC-NG,Lenovo,Germany,2018,Academic,305856,3100,,19476.6,26873.856,,,Cluster,Intel Skylake,SUSE Linux Enterprise Server 12 SP3,Linux,None,24,Lenovo ThinkSystem,Europe,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",17
24,Hawk,HPE,Germany,2020,Research,698880,2250,,19334,25159.68,3905.83,4.950036228,Cluster,AMD Zen-2 (Rome),CentOS Linux 8.1,Linux,None,64,HP Apollo,Europe,"Apollo 9000, AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband",18
25,Ghawar-1,HPE,Saudi Arabia,2021,Industry,714240,2000,,19256,22855.68,,,MPP,AMD Zen-2 (Rome),SLES15 SP2,Linux,None,64,HPE Cray EX,Asia,"HPE Cray EX, AMD EPYC 7702 64C 2GHz, Slingshot-10",19
26,Lassen,IBM / NVIDIA / Mellanox,United States,2018,Research,288288,3100,253440,18200,23047.2,,,Cluster,Power,Red Hat Enterprise Linux,Linux,NVIDIA Tesla V100,22,IBM Power Systems,North America,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",20
27,Guru,Lenovo,South Korea,2021,Government,306432,2600,,18002.8,25495.14,3296,5.462014563,Cluster,Intel Ice Lake,Linux,Linux,None,38,Lenovo ThinkSystem,Asia,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",24
28,Maru,Lenovo,South Korea,2021,Government,306432,2600,,18002.8,25495.14,3296,5.462014563,Cluster,Intel Ice Lake,Linux,Linux,None,38,Lenovo ThinkSystem,Asia,"ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR",
29,PANGEA III,IBM,France,2019,Industry,291024,3450,270720,17860,25025.81,1367,13.06510607,Cluster,Power,RHEL 7.6,Linux,NVIDIA Volta GV100,18,IBM Power Systems,Europe,"IBM Power System AC922, IBM POWER9 18C 3.45GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Volta GV100",21
30,HiPerGator AI,Nvidia,United States,2021,Academic,138880,2250,120960,17200,21314.72,582.63,29.52130855,Cluster,AMD Zen-2 (Rome),Red Hat Enterprise Linux,Linux,NVIDIA A100,64,NVIDIA DGX,North America,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR",22
31,TOKI-SORA,Fujitsu,Japan,2020,Research,276480,2200,,16592,19464.2,,,Cluster,Fujitsu ARM,Red Hat Enterprise Linux,Linux,None,48,Fujitsu PRIMEHPC,Asia,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D",25
32,Pioneer-EUS,Microsoft Azure,United States,2020,Vendor,157440,2450,141696,16590,24557.23,,,Cluster,AMD Zen-2 (Rome),Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,Microsoft Azure Cluster,North America,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",26
33,Pioneer-SCUS,Microsoft Azure,United States,2021,Vendor,157440,2450,141696,16590,24557.23,,,Cluster,AMD Zen-2 (Rome),Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,Microsoft Azure Cluster,North America,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",27
34,Pioneer-WEU,Microsoft Azure,Netherlands,2021,Vendor,157440,2450,141696,16590,24557.23,,,Cluster,AMD Zen-2 (Rome),Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,Microsoft Azure Cluster,Europe,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",28
35,Pioneer-WUS2,Microsoft Azure,United States,2021,Others,157440,2450,141696,16590,24557.23,,,Cluster,AMD Zen-2 (Rome),Ubuntu 16.04.3 LTS,Linux,NVIDIA A100,48,Microsoft Azure Cluster,North America,"NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR",29
36,Galushkin,"YANDEX, NVIDIA",Russia,2021,Industry,134912,2000,117504,16020,20636.1,,,Cluster,AMD Zen-2 (Rome),Ubuntu 16.04,Linux,NVIDIA A100 80GB​,64,YANDEX Cluster,Europe,"YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband",
37,Cori,HPE,United States,2016,Research,622336,1400,,14014.7,27880.653,3939,3.557933486,MPP,Intel Xeon Phi,Cray Linux Environment,Linux,None,68,Cray XC,North America,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ",30
38,Nurion,HPE,South Korea,2018,Research,570020,1400,,13929.3,25705.9,,,Cluster,Intel Xeon Phi,CentOS,Linux,None,68,Cray CS,Asia,"Cray CS500, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",31
39,Oakforest-PACS,Fujitsu,Japan,2016,Academic,556104,1400,,13554.6,24913.459,2718.7,4.985691691,Cluster,Intel Xeon Phi,Linux,Linux,None,68,Fujitsu Cluster,Asia,"PRIMERGY CX1640 M1, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",32
40,Lyapunov,"NVIDIA, Inspur",Russia,2020,Industry,130944,2000,114048,12810,20029.19,,,Cluster,AMD Zen-2 (Rome),Ubuntu 16.04,Linux,NVIDIA A100 40GB,64,Inspur Cluster,Europe,"Inspur NF5488A5, AMD EPYC 7662 64C 2GHz, NVIDIA A100 40GB, Infiniband",
41,HPC4,HPE,Italy,2018,Industry,253600,2100,177520,12210,18621.138,1320,9.25,Cluster,Intel Skylake,RHEL 7.4,Linux,NVIDIA Tesla P100,24,HP Cluster Platform 3000,Europe,"Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100",33
42,Tera-1000-2,Atos,France,2017,Research,561408,1400,,11965.5,23396.352,3178,3.765103839,Cluster,Intel Xeon Phi,bullx SCS,Linux,None,68,BullSequana,Europe,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",34
43,Christofari Neo,Nvidia,Russia,2021,Industry,98208,2250,85536,11950,14908.61,,,Cluster,AMD Zen-2 (Rome),NVIDIA DGX OS 5,Linux,NVIDIA A100 80GB​,64,NVIDIA DGX,Europe,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband",
44,Stampede2,DELL EMC,United States,2017,Academic,367024,1400,,10680.7,18309.222,,,Cluster,Intel Xeon Phi,CentOS,Linux,None,68,Dell PowerEdge Cluster,North America,"PowerEdge C6320P/C6420, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path",35
45,MeluXina - Accelerator Module,Atos,Luxembourg,2021,Research,99200,2350,86400,10520,15288,390.25,26.9570788,Cluster,AMD Zen-2 (Rome),RHEL compatible,Linux,NVIDIA A100 40GB,32,BullSequana,Europe,"BullSequana XH2000, AMD EPYC 7452 32C 2.35GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",36
46,Cactus,HPE,United States,2021,Government,327680,2250,,10013,11796.48,,,MPP,AMD Zen-2 (Rome),HPE Cray OS,Linux,None,64,HPE Cray EX,North America,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",37
47,Dogwood,HPE,United States,2020,Government,327680,2250,,10013,11796.48,,,MPP,AMD Zen-2 (Rome),HPE Cray OS,Linux,None,64,HPE Cray EX,North America,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",38
48,Earth Simulator -SX-Aurora TSUBASA,NEC,Japan,2021,Research,43776,1600,,9990.7,13447.99,1390.95,7.182644955,Cluster,NEC Vector Engine,VEOS,Linux,None,8,SX-Aurora TSUBASA,Asia,"SX-Aurora TSUBASA B401-8, Vector Engine Type20B 8C 1.6GHz, Infiniband HDR200",39
49,Amazon EC2 Instance Cluster us-east-1a,Amazon Web Services,United States,2019,Industry,172692,3000,,9950.26,15106.52,,,Cluster,Intel Skylake,Amazon Linux 2,Linux,None,18,Amazon EC2,North America,"Amazon EC2 r5.24xlarge, Xeon Platinum 8260 24C 2.4GHz, 25G Ethernet",40
50,NVIDIA Cambridge-1 DGX SuperPOD,Nvidia,United States,2021,Vendor,79360,2250,69120,9682,12047,,,Cluster,AMD Zen-2 (Rome),Ubuntu 20.04.1 LTS,Linux,NVIDIA A100 80GB​,64,NVIDIA DGX,North America,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband HDR",41
