Rank,Name,Manufacturer,Country,Year,Segment,Total_Cores,Processor_Speed,CoProcessor_Cores,Rmax,Rpeak,Power,Power_Efficiency,Architecture,Processor_Technology,Operating_System,OS_Family,CoProcessor,CoresPerSocket,System_Family,Continent,System_Model,Previous_Rank
161,Hera,HPE,United States,2019,Research,63840,2400,,3080.85,4884.48,,,Cluster,Intel Skylake,CentOS,Linux,None,20,Cray CS,North America,"Cray CS500, Xeon Gold 6148 20C 2.4GHz, Infiniband HDR",138
162,Camphor 2,HPE,Japan,2016,Academic,122400,1400,,3057.35,5483.52,748.1,4.086819944,MPP,Intel Xeon Phi,Cray Linux Environment,Linux,None,68,Cray XC,Asia,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ",139
163,Jean Zay,HPE,France,2019,Academic,61120,2500,,3054.35,4867.2,,,Cluster,Intel Cascade lake,RHEL 7.6,Linux,None,20,HPE SGI 8600,Europe,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, Intel Omni-Path",140
164,Mistral,Atos,Germany,2015,Research,99072,2500,,3010.68,3962.88,1116,2.697741935,Cluster,Intel Haswell,Bullx Linux,Linux,None,12,Bull Bullx,Europe,"bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz/E5-2695V4 18C  2.1Ghz, Infiniband FDR",141
165,,Lenovo,China,2019,Industry,73600,2500,,2994.04,5888,,,Cluster,Intel Skylake,Linux,Linux,None,20,Lenovo ThinkSystem,Asia,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",142
166,HHH1,Lenovo,China,2021,Industry,80640,2500,,2975.29,6451.2,,,Cluster,Intel Cascade lake,Linux,Linux,None,24,Lenovo ThinkSystem,Asia,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",
167,III1,Lenovo,China,2021,Industry,79680,2500,,2975.08,6374.4,,,Cluster,Intel Cascade lake,Linux,Linux,None,24,Lenovo ThinkSystem,Asia,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",
168,Tetralith,ClusterVision / Hammer,Sweden,2018,Academic,64512,2100,,2969.19,4335.206,,,Cluster,Intel Skylake,CentOS,Linux,None,16,ClusterVision / Hammer Cluster,Europe,"Intel H2204XXLRE, Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path",143
169,JJJ1,Lenovo,China,2021,Industry,78720,2500,,2933.42,6297.6,,,Cluster,Intel Cascade lake,Linux,Linux,None,24,Lenovo ThinkSystem,Asia,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",
170,,Lenovo,China,2019,Industry,72000,2500,,2931.84,5760,,,Cluster,Intel Skylake,Linux,Linux,None,20,Lenovo ThinkSystem,Asia,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",144
171,A9A,Lenovo,United States,2021,Industry,86016,2100,,2922.5,5780.28,,,Cluster,Intel Cascade lake,Linux,Linux,None,24,Lenovo ThinkSystem,North America,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",
172,A6A,Lenovo,United States,2021,Industry,86016,2100,,2922.5,5780.28,,,Cluster,Intel Cascade lake,Linux,Linux,None,24,Lenovo ThinkSystem,North America,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",
173,Jean,Liqid,United States,2020,Government,55296,2300,,2917.56,4069.79,,,Cluster,Intel Cascade lake,CentOS,Linux,None,48,Liqid Cluster,North America,"Liqid Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Infiniband HDR",145
174,KKK1,Lenovo,China,2021,Industry,77760,2500,,2910.09,6220.8,,,Cluster,Intel Cascade lake,Linux,Linux,None,24,Lenovo ThinkSystem,Asia,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",
175,,Inspur,China,2020,Academic,49056,3000,,2889.41,4709.38,,,Cluster,Intel Cascade lake,Linux,Linux,None,24,Inspur Cluster,Asia,"Inspur TS10000 HPC Server, Xeon Gold 6248R 24C 3GHz, InfiniBand HDR 100",146
176,LLL1,Lenovo,China,2021,Industry,76800,2500,,2882.76,6144,,,Cluster,Intel Cascade lake,Linux,Linux,None,24,Lenovo ThinkSystem,Asia,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",
177,,Lenovo,China,2021,Industry,93600,2100,,2873.41,6289.92,,,Cluster,Intel Cascade lake,Linux,Linux,None,26,Lenovo ThinkSystem,Asia,"ThinkSystem HR650X, Xeon Gold 6230R 26C 2.1GHz, 10G Ethernet",147
178,A8A,Lenovo,United States,2021,Industry,84480,2100,,2870.31,5677.06,,,Cluster,Intel Cascade lake,Linux,Linux,None,24,Lenovo ThinkSystem,North America,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",
179,A8A,Lenovo,United States,2021,Industry,84480,2100,,2870.31,5677.06,,,Cluster,Intel Cascade lake,Linux,Linux,None,24,Lenovo ThinkSystem,North America,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",
180,A3A,Lenovo,United States,2021,Industry,84480,2100,,2870.31,5677.06,,,Cluster,Intel Cascade lake,Linux,Linux,None,24,Lenovo ThinkSystem,North America,"ThinkSystem C0366, Xeon Gold 6252 24C 2.1GHz, 100G Ethernet",
181,,Lenovo,China,2020,Industry,94160,2100,,2867.64,6327.55,,,Cluster,Intel Cascade lake,Linux,Linux,None,22,Lenovo ThinkSystem,Asia,"ThinkSystem SR650, Xeon Gold 6238 22C 2.1GHz, 10G Ethernet",148
182,MMM1,Lenovo,China,2021,Industry,75840,2500,,2857.04,6067.2,,,Cluster,Intel Cascade lake,Linux,Linux,None,24,Lenovo ThinkSystem,Asia,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",
183,"Karolina, CPU partition",HPE,Czechia,2021,Academic,92160,2600,,2837.4,3833.86,502.7,5.644320668,Cluster,AMD Zen-2 (Rome),CentOS,Linux,None,64,HP Apollo,Europe,"Apollo 2000, AMD EPYC 7H12 64C 2.6GHz, InfiniBand HDR 100",149
184,NNN1,Lenovo,China,2021,Industry,74880,2500,,2834.05,5990.4,,,Cluster,Intel Cascade lake,Linux,Linux,None,24,Lenovo ThinkSystem,Asia,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",
185,Freeman,HPE,United States,2020,Research,79104,2900,,2829,3670.43,,,Cluster,AMD Zen-2 (Rome),RHEL 7.7,Linux,None,32,Cray CS,North America,"Cray CS500, AMD EPYC 7542 32C 2.9GHz, Mellanox InfiniBand HDR100",150
186,SuperMUC Phase 2,Lenovo/IBM,Germany,2015,Academic,86016,2600,,2813.62,3578.266,1480.83,1.900029038,Cluster,Intel Haswell,Linux,Linux,None,14,NeXtScale,Europe,"NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14",151
187,OOO1,Lenovo,China,2021,Industry,73920,2500,,2804.41,5913.6,,,Cluster,Intel Cascade lake,Linux,Linux,None,24,Lenovo ThinkSystem,Asia,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 25G Ethernet",
188,,HPE,United Kingdom,2016,Research,89856,2100,,2801.782,3019.162,1347.84,2.078720026,MPP,Intel Broadwell,Cray Linux Environment,Linux,None,18,Cray XC,Europe,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",152
189,,HPE,United Kingdom,2016,Research,89856,2100,,2801.782,3019.162,1347.84,2.078720026,MPP,Intel Broadwell,Cray Linux Environment,Linux,None,18,Cray XC,Europe,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",153
190,JFRS-1,HPE,Japan,2018,Research,54560,2400,,2787.14,4190.208,697.51,3.995842354,MPP,Intel Skylake,Cray Linux Environment,Linux,None,20,Cray XC,Asia,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ",154
191,,Lenovo,China,2019,Industry,68000,2500,,2779.84,5440,,,Cluster,Intel Skylake,Linux,Linux,None,20,Lenovo ThinkSystem,Asia,"Lenovo HR650x, Xeon Gold 6133 20C 2.5GHz, 25G Ethernet",155
192,,Lenovo,China,2021,Industry,72960,2500,,2774.23,5836.8,,,Cluster,Intel Cascade lake,Linux,Linux,None,24,Lenovo ThinkSystem,Asia,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",156
193,Spartan3,Atos,France,2021,Vendor,92160,2450,,2751,3612.67,,,Cluster,AMD Zen-3 (Milan),Linux,Linux,None,64,BullSequana,Europe,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Mellanox InfiniBand HDR100",157
194,ZZ2,Lenovo,China,2020,Industry,67200,2500,,2749.28,5376,,,Cluster,Intel Skylake,Linux,Linux,None,20,Lenovo ThinkSystem,Asia,"ThinkSystem HR650X, Xeon Gold 6133 20C 2.5GHz, 10G Ethernet",158
195,,Lenovo,China,2019,Industry,66400,2500,,2746.3,5312,,,Cluster,Intel Cascade lake,Linux,Linux,None,20,Lenovo ThinkSystem,Asia,"ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 25G Ethernet",159
196,,Lenovo,China,2019,Government,59976,2600,48960,2744.84,5354.878,,,Cluster,Intel Cascade lake,Linux,Linux,NVIDIA Tesla V100,18,Lenovo ThinkSystem,Asia,"ThinkSystem SR650, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR",160
197,,Lenovo,China,2021,Industry,72000,2500,,2742.91,5760,,,Cluster,Intel Cascade lake,Linux,Linux,None,24,Lenovo ThinkSystem,Asia,"ThinkSystem HR650X, Xeon Gold 6233 24C 2.5GHz, 10G Ethernet",161
198,Topaze-gpu,Atos,France,2021,Research,26880,2450,20736,2741,3744,,,Cluster,AMD Zen-3 (Milan),Linux,Linux,NVIDIA A100,64,BullSequana,Europe,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100, Mellanox HDR Infiniband",
199,VSC-4,Lenovo,Austria,2019,Academic,37920,3100,,2726.0779,3761.664,,,Cluster,Intel Skylake,SUSE Linux Enterprise Server 12 SP3,Linux,None,24,Lenovo ThinkSystem,Europe,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",162
200,SNL/NNSA CTS-1 Attaway,Penguin Computing,United States,2019,Research,52920,2300,,2724.52,3894.912,750,3.632693333,Cluster,Intel Skylake,Linux/TOSS,Linux,None,18,Penguin Computing Cluster,North America,"Tundra Extreme Scale, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path",163
